modelo,marca,ano,quilometragem,potenciamotor,combustivel,cambio,direcao,cor,portas,finalplaca,vidroeletrico,travaeletrica,arcondicionado,direcaohidraulica,som,airbag,alarme,sensorre,camerare,blindado,valor
PEUGEOT 3008 ALLURE 1.6 TURBO 16V 5P AUT.,PEUGEOT,2020,14548,1.6,Gasolina,Automático,Elétrica,Cinza,4,9,1,1,1,0,1,1,1,1,1,0,176990.0
PEUGEOT 207 SW XR 1.4 FLEX 8V 5P,PEUGEOT,2011,199000,1.4,Flex,Manual,Hidráulica,Cinza,4,8,1,1,1,1,1,0,1,1,0,0,15000.0
PEUGEOT 408 SEDAN ALLURE 2.0 FLEX 16V 4P MEC.,PEUGEOT,2012,64900,2.0,Flex,Manual,Elétrica,Branco,4,8,1,1,1,1,1,1,1,1,0,0,29500.0
PEUGEOT 207 ACTIVE 1.4 FLEX 8V 5P,PEUGEOT,2009,198000,1.4,Gasolina,Automático,Mecânica,Cinza,4,6,0,1,1,0,0,0,0,0,0,0,20800.0
PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 3P,PEUGEOT,2008,180000,1.4,Gasolina,Automático,Hidráulica,Preto,4,5,1,1,1,1,1,0,1,0,0,0,21800.0
PEUGEOT 307 CC 2.0 16V 2P AUT.,PEUGEOT,2004,158000,2.0,Gasolina,Automático,Elétrica,Preto,4,8,1,1,1,0,1,1,1,1,1,0,14000.0
PEUGEOT 208 ACTIVE PACK 1.6 FLEX 16V 5P AUT.,PEUGEOT,2015,80000,1.6,Flex,Automático,Elétrica,Preto,4,9,1,1,1,0,1,1,1,1,1,0,37000.0
PEUGEOT 207 SED. PASSION XR SPORT 1.4 FLEX 8V 4P,PEUGEOT,2010,150000,1.4,Flex,Manual,Hidráulica,Cinza,4,5,1,1,1,1,0,0,0,0,0,0,19900.0
PEUGEOT 207 XR SPORT 1.4 FLEX 8V 5P,PEUGEOT,2013,115000,1.4,Flex,Manual,Hidráulica,Prata,4,7,1,1,1,1,1,0,1,0,0,0,21500.0
PEUGEOT 208 PREMIER 1.6 FLEX 16V 5P,PEUGEOT,2014,98000,1.6,Flex,Manual,Elétrica,Outra,4,6,1,1,1,0,1,1,1,1,0,0,36900.0
PEUGEOT 2008 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2020,27670,1.6,Flex,Automático,Elétrica,Cinza,4,7,1,1,1,0,1,1,1,1,0,0,72990.0
PEUGEOT 207 XR 1.4 FLEX 8V 5P,PEUGEOT,2013,160000,1.4,Flex,Manual,Hidráulica,Prata,4,8,1,1,1,1,1,0,0,0,0,0,20750.0
PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2016,103000,1.6,Flex,Automático,Hidráulica,Branco,4,3,1,1,1,1,1,1,1,1,1,0,52000.0
PEUGEOT 206 SOLEIL 1.6 16V 110CV 5P,PEUGEOT,2001,170000,1.6,Gasolina,Manual,Hidráulica,Prata,4,9,1,0,1,1,1,0,1,0,0,0,9800.0
