Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Vidro elétrico,Trava elétrica,Ar condicionado,Direção hidráulica,Som,Air bag,Alarme,Sensor de ré,Câmera de ré,Blindado,Valor
FORD FIESTA CLASS 1.6 8V 98CV 5P,FORD,Hatch,2012,122,1.6,Flex,Manual,Hidráulica,Prata,8,1,1,1,1,1,1,1,0,0,0,31.900
NISSAN KICKS SV 1.6 16V FLEXSTAR 5P AUT.,NISSAN,SUV,2019,65000,1.6,Flex,Automático,Elétrica,Preto,9,1,1,1,1,1,1,1,1,1,0,94.990
CHERY TIGGO 2 LOOK 1.5 16V FLEX MEC. 5P,CHERY,SUV,2019,26000,1.5,Flex,Manual,Hidráulica,Branco,9,1,1,1,1,1,1,1,1,1,0,64.800
RENAULT SANDERO EXPRESSION HI-FLEX 1.6 8V 5P,RENAULT,Hatch,2012,130000,1.6,Flex,Manual,Hidráulica,Prata,8,1,1,1,1,1,1,1,0,0,0,28.900
VW - VOLKSWAGEN T-CROSS HIGHLINE 1.4 TSI FLEX 16V 5P AUT,VW - VOLKSWAGEN,SUV,2020,67600,1.4,Flex,Automático,Elétrica,Branco,0,1,1,1,1,1,1,1,1,1,0,120.000
VW - VOLKSWAGEN FOX COMFORTLINE 1.0 FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2015,78000,1.0,Flex,Manual,Hidráulica,Branco,6,1,1,1,1,1,1,1,1,0,0,49.800
VW - VOLKSWAGEN GOL CL 1.6 MI 2P E 4P,VW - VOLKSWAGEN,Antigo,1991,33223,1.6,Gasolina,Manual,Mecânica,Outra,5,0,0,0,0,1,0,0,0,0,0,5.200
HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,HYUNDAI,Hatch,2019,66000,1.0,Flex,Manual,Hidráulica,Branco,0,1,1,1,1,1,1,1,1,1,0,58.900
TOYOTA COROLLA,TOYOTA,Sedã,2006,0,1.8,Gasolina,Manual,Hidráulica,Prata,3,0,0,0,0,0,0,0,0,0,0,24.000
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES. AUT.,TOYOTA,SUV,2017,142000,2.0 - 2.9,Diesel,Automático,Hidráulica,Preto,2,1,1,1,1,1,1,1,1,1,0,242.000
VW - VOLKSWAGEN POLO 1.0 MI 79CV 16V 5P,VW - VOLKSWAGEN,Hatch,2018,59500,1.0,Flex,Manual,Hidráulica,Branco,0,1,1,1,1,1,1,1,0,0,0,57.000
VW - VOLKSWAGEN JETTA GLI 350 TSI 2.0 16V 4P AUT.,VW - VOLKSWAGEN,Sedã,2019,27000,2.0 - 2.9,Gasolina,Automático,Elétrica,Branco,8,1,1,1,0,1,1,1,1,1,0,200.000
RENAULT SANDERO VIBE FLEX 1.0 12V 5P,RENAULT,Hatch,2007,36000,1.0,Flex,Manual,Elétrica,Cinza,6,1,1,1,1,1,1,1,1,0,0,43.900
GM - CHEVROLET OMEGA,GM - CHEVROLET,Sedã,1993,9999,2.0 - 2.9,Gasolina,Manual,Hidráulica,Prata,5,1,1,0,1,0,0,1,0,0,0,3.800
NISSAN MARCH S 1.6 16V FLEX FUEL 5P,NISSAN,Hatch,2014,90000,1.6,Flex,Manual,Elétrica,Prata,6,1,1,1,0,1,1,1,0,0,0,33.990
VW - VOLKSWAGEN AMAROK HIGH.CD 2.0 16V TDI 4X4 DIES. AUT,VW - VOLKSWAGEN,Pick-up,2015,100000,2.0 - 2.9,Diesel,Automático,Hidráulica,Branco,6,1,1,1,1,1,1,1,1,1,0,140.000
FORD FIESTA SE 1.6 8V FLEX 5P,FORD,Hatch,2014,96608,1.6,Flex,Manual,Hidráulica,Branco,4,1,1,1,1,1,0,0,1,0,0,30.400
GM - CHEVROLET ONIX HATCH ACTIV 1.4 8V FLEX 5P AUT.,GM - CHEVROLET,Hatch,2019,15800,1.4,Flex,Automático,Elétrica,Laranja,7,0,0,0,0,0,0,0,0,0,0,72.999
FIAT TORO VOLCANO 2.0 16V 4X4 TB DIESEL AUT.,FIAT,Pick-up,2019,81920,2.0 - 2.9,Diesel,Automático,Elétrica,Branco,5,1,1,1,1,1,1,1,1,1,0,145.000
FIAT UNO WAY 1.0 EVO FIRE FLEX 8V 5P,FIAT,Hatch,2016,70259,1.0,Flex,Manual,Hidráulica,Vermelho,6,1,1,1,1,1,1,1,1,0,0,36.000
HONDA HR-V EXL 1.8 FLEXONE 16V 5P AUT.,HONDA,SUV,2016,135000,1.8,Flex,Automático,Elétrica,Branco,0,1,1,1,0,1,1,1,0,1,0,86.000
FORD FUSION SEL 2.3 16V  162CV AUT.,FORD,Sedã,2008,173574,2.0 - 2.9,Gasolina,Automático,Hidráulica,Preto,2,1,1,1,1,1,1,1,1,1,0,28.000
NISSAN VERSA SL 1.6 16V FLEXSTART 4P MEC.,NISSAN,Sedã,2018,42270,1.6,Flex,Manual,Hidráulica,Branco,9,1,1,1,1,1,1,0,0,1,0,62.000
FIAT TORO FREEDOM 1.8 16V FLEX AUT.,FIAT,Pick-up,2017,100,1.8,Gasolina,Automático,Elétrica,Vermelho,9,1,1,1,0,1,1,1,1,1,0,90.000
VW - VOLKSWAGEN SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW - VOLKSWAGEN,Pick-up,2018,40000,1.6,Flex,Manual,Hidráulica,Preto,3,1,1,1,1,1,1,1,1,0,0,56.800
FIAT IDEA ESSENCE 1.6 FLEX 16V 5P,FIAT,Passeio,2013,126000,1.6,Gasolina,Manual,Hidráulica,Outra,0,1,1,1,1,1,1,1,1,0,0,31.000
TOYOTA COROLLA GLI 1.8 FLEX 16V  AUT.,TOYOTA,Sedã,2018,45000,1.8,Flex,Automático,Hidráulica,Prata,7,1,1,1,1,1,1,1,1,1,0,89.000
VW - VOLKSWAGEN SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW - VOLKSWAGEN,Pick-up,2020,53000,1.6,Flex,Manual,Hidráulica,Branco,2,1,1,1,1,1,1,1,0,1,0,65.000
TOYOTA ETIOS X 1.3 FLEX 16V 5P MEC.,TOYOTA,Hatch,2019,46000,1.3,Flex,Manual,Elétrica,Branco,8,1,1,1,1,1,1,1,1,0,0,54.900
PEUGEOT 307 SOLEIL/ PRESENCE 1.6/1.6 FLEX 16V 5P,PEUGEOT,Hatch,2010,150000,1.6,Flex,Manual,Hidráulica,Cinza,8,1,1,1,1,1,1,1,0,0,0,23.500
FORD FIESTA SE 1.0 8V FLEX 5P,FORD,Hatch,2014,87000,1.0,Flex,Manual,Hidráulica,Preto,3,1,1,1,1,1,1,1,1,0,0,29.990
FIAT STRADA VOLCANO 1.3 FLEX 8V CD,FIAT,Van/Utilitário,2021,15000,1.3,Flex,Manual,Elétrica,Preto,4,1,1,1,1,1,1,1,1,1,0,114.800
MITSUBISHI ASX 2.0 16V 4X2 FLEX AUT.,MITSUBISHI,SUV,2018,24000,2.0 - 2.9,Flex,Automático,Elétrica,Vermelho,9,1,1,1,1,1,1,1,1,1,0,96.000
FIAT STRADA ADVENTURE1.8/ 1.8 LOCKER FLEX CD,FIAT,Pick-up,2011,113,1.8,Flex,Manual,Hidráulica,Azul,7,1,1,1,1,1,1,1,0,0,0,45.000
GM - CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT,GM - CHEVROLET,SUV,2021,28287,1.2,Flex,Automático,Elétrica,Branco,9,1,1,1,0,1,1,1,1,1,0,138.900
GM - CHEVROLET CORSA HAT. MAXX 1.4 8V ECONOFLEX 5P,GM - CHEVROLET,Sedã,2012,95000,1.4,Flex,Manual,Hidráulica,Prata,6,1,1,1,1,1,1,1,0,0,0,31.000
